Location,Area_SqFt,BHK,Bathrooms,Parking,Property_Age,Floor_Number,Total_Floors,Price,Price_Per_SqFt,Floor_Ratio,Location_Encoded
Uppal,1781.9,3,3,1.0,2,13,17,8647434.0,4852.9,0.765,19
Ameerpet,2135.1,4,4,2.0,0,9,11,15981877.0,7485.3,0.818,0
Gachibowli,1425.4,2,2,3.0,15,6,9,13567304.0,9518.2,0.667,5
Madhapur,2600.1,4,5,1.0,10,5,10,21409650.0,8234.2,0.5,12
Madhapur,1796.0,3,3,1.0,2,3,16,16062570.0,8943.5,0.188,12
Hitech City,1141.7,2,2,2.0,10,0,2,10046679.0,8799.8,0.0,6
Tellapur,791.9,1,2,1.0,10,2,4,5092917.0,6431.3,0.5,18
Miyapur,1175.8,2,3,1.0,2,18,23,6939883.0,5902.3,0.783,14
Gachibowli,683.2,1,2,3.0,7,15,21,5956894.0,8719.1,0.714,5
Tellapur,511.5,1,1,1.0,7,0,2,3427695.0,6701.3,0.0,18
Kompally,1505.7,3,3,1.0,7,1,3,6568367.0,4362.3,0.333,8
Begumpet,1072.9,2,3,2.0,7,17,21,8482997.0,7906.6,0.81,2
Manikonda,2292.5,4,5,1.0,5,4,10,13726250.0,5987.5,0.4,13
Shaikpet,1284.5,3,3,1.0,1,1,4,8343086.0,6495.2,0.25,17
Manikonda,1706.6,3,3,2.0,0,5,10,10084365.0,5909.0,0.5,13
LB Nagar,1946.7,3,3,0.0,25,9,16,7527380.0,3866.7,0.562,11
Nallagandla,1338.2,3,3,1.0,15,2,2,8272679.0,6181.9,1.0,15
Manikonda,1364.0,3,3,1.0,3,0,8,9216352.0,6756.9,0.0,13
Nallagandla,1628.3,3,4,1.0,7,5,17,10786032.0,6624.1,0.294,15
Bowenpally,1484.8,3,4,0.0,10,14,16,8170123.0,5502.5,0.875,3
Hitech City,1996.4,3,4,1.0,7,6,9,19069612.0,9552.0,0.667,6
Bowenpally,2279.5,4,4,0.0,20,12,12,10375554.0,4551.7,1.0,3
Shaikpet,1969.8,3,3,3.0,15,6,7,13370996.0,6788.0,0.857,17
Uppal,1831.5,3,3,1.0,2,7,15,8051748.0,4396.3,0.467,19
Uppal,1377.5,3,4,1.0,15,1,2,5459328.0,3963.2,0.5,19
Gachibowli,1604.3,3,4,1.0,7,3,9,14539025.0,9062.5,0.333,5
Shaikpet,1541.2,3,3,0.0,2,5,8,11093682.0,7198.1,0.625,17
Hitech City,1285.1,2,2,1.0,20,15,22,9541237.0,7424.5,0.682,6
Gachibowli,2523.3,4,4,2.0,0,11,13,24100581.0,9551.2,0.846,5
Manikonda,1382.5,3,4,2.0,2,4,24,8041555.0,5816.7,0.167,13
Hitech City,1370.8,3,3,1.0,20,2,7,9943921.0,7254.1,0.286,6
Nizampet,1722.8,3,4,2.0,15,0,4,8175317.0,4745.4,0.0,16
Nallagandla,1013.7,2,3,1.0,1,7,18,7113644.0,7017.5,0.389,15
Banjara Hills,1516.1,3,3,1.0,3,2,11,22689229.0,14965.5,0.182,1
Kompally,1304.4,2,2,1.0,2,6,8,7350165.0,5634.9,0.75,8
Begumpet,1048.3,2,3,1.0,5,0,16,7359234.0,7020.2,0.0,2
Banjara Hills,660.4,1,1,3.0,3,25,25,10206240.0,15454.6,1.0,1
Bowenpally,1268.5,2,2,1.0,3,16,18,6769742.0,5336.8,0.889,3
Kukatpally,854.4,1,2,2.0,2,8,23,4940318.0,5782.2,0.348,10
Jubilee Hills,1597.2,3,3,1.0,5,18,20,24345069.0,15242.3,0.9,7
Banjara Hills,1105.0,2,2,1.0,0,1,17,15746249.0,14250.0,0.059,1
Tellapur,2534.2,4,5,0.0,7,1,14,13905190.0,5487.0,0.071,18
Banjara Hills,1501.3,3,4,1.0,7,2,5,20207446.0,13460.0,0.4,1
LB Nagar,695.4,1,1,2.0,15,1,10,2671591.0,3841.8,0.1,11
Begumpet,520.5,1,1,1.0,3,16,21,4558946.0,8758.8,0.762,2
Financial District,1927.9,3,3,1.0,15,15,18,18015796.0,9344.8,0.833,4
Financial District,1754.9,3,3,2.0,2,10,14,18129755.0,10330.9,0.714,4
Ameerpet,999.6,2,2,1.0,20,10,13,5308642.0,5310.8,0.769,0
Begumpet,1444.0,3,3,1.0,20,5,18,9545689.0,6610.6,0.278,2
Begumpet,1489.0,3,3,2.0,5,12,15,12167237.0,8171.4,0.8,2
Hitech City,2256.8,4,5,2.0,10,11,21,21886603.0,9698.1,0.524,6
Jubilee Hills,1719.2,3,3,2.0,2,13,25,23200303.0,13494.8,0.52,7
Tellapur,2025.6,3,3,2.0,10,7,7,12391354.0,6117.4,1.0,18
LB Nagar,2976.1,4,4,1.0,25,10,12,10012335.0,3364.2,0.833,11
Uppal,1007.6,2,2,1.0,0,4,4,4960989.0,4923.6,1.0,19
Manikonda,1176.7,2,3,2.0,1,15,21,7520339.0,6391.0,0.714,13
Uppal,1889.6,4,5,1.0,5,11,22,7775637.0,4115.0,0.5,19
Shaikpet,1773.9,3,3,0.0,3,17,19,13367097.0,7535.4,0.895,17
Kukatpally,1420.8,2,3,1.0,2,0,20,8601820.0,6054.2,0.0,10
Kondapur,1761.5,3,3,2.0,15,1,15,10830551.0,6148.5,0.067,9
LB Nagar,1255.3,3,4,2.0,7,12,14,4773711.0,3802.8,0.857,11
Banjara Hills,1726.5,3,3,1.0,3,19,23,24771764.0,14348.0,0.826,1
Tellapur,662.8,1,2,1.0,7,6,12,4459147.0,6727.7,0.5,18
Ameerpet,2254.1,4,5,1.0,10,2,4,13591712.0,6029.8,0.5,0
LB Nagar,1269.6,2,3,3.0,10,3,15,5968135.0,4700.8,0.2,11
Kondapur,1974.1,3,4,1.0,5,1,3,13003232.0,6586.9,0.333,9
Kondapur,1125.6,2,2,1.0,1,3,6,7275532.0,6463.7,0.5,9
Nizampet,696.4,1,1,1.0,15,22,25,3335427.0,4789.5,0.88,16
Financial District,659.1,1,1,3.0,3,9,24,6483508.0,9836.9,0.375,4
Kondapur,1653.3,3,3,2.0,5,2,7,11480207.0,6943.8,0.286,9
Kondapur,1108.0,2,3,1.0,5,0,9,7984130.0,7205.9,0.0,9
Bowenpally,1412.8,2,2,1.0,2,7,8,8172409.0,5784.5,0.875,3
Nizampet,1692.9,3,3,1.0,1,5,14,8519007.0,5032.2,0.357,16
Financial District,2641.8,4,4,1.0,25,4,10,19127463.0,7240.3,0.4,4
LB Nagar,1190.9,2,3,2.0,1,0,2,5423304.0,4554.0,0.0,11
Begumpet,1012.0,2,3,3.0,7,12,16,7469382.0,7380.8,0.75,2
Kondapur,707.9,1,2,2.0,5,1,8,5445992.0,7693.2,0.125,9
Kompally,2134.6,4,4,1.0,20,11,11,8896203.0,4167.6,1.0,8
LB Nagar,1042.7,2,2,1.0,10,7,9,4390077.0,4210.3,0.778,11
Miyapur,1087.9,2,3,1.0,10,20,22,6474714.0,5951.6,0.909,14
Tellapur,2123.4,4,4,2.0,5,0,10,14111026.0,6645.5,0.0,18
Financial District,1012.5,2,2,0.0,7,5,18,8434860.0,8330.7,0.278,4
Uppal,1270.5,2,2,1.0,3,10,18,5241366.0,4125.4,0.556,19
Jubilee Hills,1152.6,2,3,3.0,3,3,7,17493550.0,15177.5,0.429,7
Nallagandla,1009.6,2,2,1.0,20,1,4,5964042.0,5907.3,0.25,15
Manikonda,1937.4,4,4,1.0,1,16,17,13541470.0,6989.5,0.941,13
Begumpet,1571.8,3,4,2.0,3,6,13,12796082.0,8141.0,0.462,2
Hitech City,997.6,2,2,1.0,3,16,21,9902442.0,9926.3,0.762,6
LB Nagar,1181.6,2,2,1.0,2,14,21,5910500.0,5002.1,0.667,11
Kompally,1292.5,3,3,0.0,1,3,24,7080007.0,5477.8,0.125,8
Shaikpet,1159.2,2,3,1.0,5,16,21,8852188.0,7636.5,0.762,17
Tellapur,2266.1,4,4,1.0,1,5,14,15951783.0,7039.3,0.357,18
Gachibowli,768.3,1,1,2.0,5,6,13,6915743.0,9001.4,0.462,5
Nizampet,1716.2,3,4,3.0,2,14,22,9700537.0,5652.3,0.636,16
Banjara Hills,660.1,1,1,1.0,7,0,2,8667791.0,13131.0,0.0,1
Manikonda,1209.3,2,2,1.0,3,16,16,8111843.0,6707.9,1.0,13
Bowenpally,1706.0,3,3,2.0,5,14,15,9074523.0,5319.2,0.933,3
Tellapur,2186.4,4,4,1.0,20,4,7,13700220.0,6266.1,0.571,18
Bowenpally,1238.4,2,2,1.0,7,17,19,6569153.0,5304.5,0.895,3
Hitech City,1582.2,3,3,1.0,7,11,12,14565960.0,9206.1,0.917,6
Financial District,705.7,1,1,2.0,10,6,18,5550380.0,7865.1,0.333,4
Kukatpally,3812.9,5,5,1.0,2,14,16,23447965.0,6149.6,0.875,10
Hitech City,1563.2,3,3,2.0,0,7,9,13945197.0,8920.9,0.778,6
Begumpet,1694.6,3,4,1.0,10,17,19,13242784.0,7814.7,0.895,2
Gachibowli,1978.1,4,5,2.0,0,25,25,15795004.0,7984.9,1.0,5
Kompally,1150.4,2,2,1.0,5,4,10,6224091.0,5410.4,0.4,8
Manikonda,1605.3,3,3,0.0,25,3,5,7914672.0,4930.3,0.6,13
Bowenpally,1909.0,3,4,3.0,3,10,17,9713044.0,5088.0,0.588,3
Nizampet,3228.2,5,6,2.0,1,8,10,17240823.0,5340.7,0.8,16
Manikonda,1508.4,3,3,1.0,1,7,14,9000743.0,5967.1,0.5,13
Ameerpet,1779.5,3,4,1.0,10,2,15,11304872.0,6352.8,0.133,0
LB Nagar,1144.6,2,3,3.0,2,1,18,5106133.0,4461.1,0.056,11
Miyapur,637.7,1,2,2.0,20,10,13,3200343.0,5018.6,0.769,14
Begumpet,1016.0,2,2,0.0,0,7,16,8593507.0,8458.2,0.438,2
Kondapur,956.7,2,2,1.0,1,3,18,7034428.0,7352.8,0.167,9
Tellapur,2269.5,4,4,2.0,0,13,17,15581143.0,6865.5,0.765,18
Manikonda,1721.9,3,4,1.0,7,18,21,11257850.0,6538.0,0.857,13
Nizampet,1770.5,3,3,1.0,2,1,5,9840479.0,5558.0,0.2,16
Ameerpet,1193.3,2,2,2.0,2,3,23,8329846.0,6980.5,0.13,0
LB Nagar,2023.4,4,4,1.0,7,8,21,8077961.0,3992.3,0.381,11
Hitech City,1167.7,2,2,0.0,0,1,13,10281919.0,8805.3,0.077,6
Nizampet,3542.9,5,6,1.0,5,2,3,20846352.0,5884.0,0.667,16
LB Nagar,1954.9,3,3,1.0,0,7,12,9514255.0,4866.9,0.583,11
Jubilee Hills,1180.0,2,2,1.0,5,11,12,16550050.0,14025.5,0.917,7
Shaikpet,1560.3,3,4,1.0,7,1,17,11110277.0,7120.6,0.059,17
LB Nagar,1048.5,2,3,1.0,7,5,10,4583587.0,4371.6,0.5,11
Manikonda,989.3,2,2,2.0,1,1,17,6557111.0,6628.0,0.059,13
Banjara Hills,1314.9,2,3,1.0,10,3,20,18105068.0,13769.2,0.15,1
Shaikpet,1201.9,2,2,2.0,25,13,23,7219380.0,6006.6,0.565,17
Ameerpet,2588.6,5,6,1.0,5,12,24,17542776.0,6776.9,0.5,0
Ameerpet,1313.8,2,2,0.0,10,16,17,8853442.0,6738.8,0.941,0
Nizampet,2277.0,4,4,2.0,7,14,15,9626044.0,4227.5,0.933,16
Kukatpally,578.5,1,1,0.0,5,3,9,3648512.0,6306.8,0.333,10
Financial District,2667.7,4,4,2.0,25,6,9,21213860.0,7952.1,0.667,4
Jubilee Hills,1145.7,2,2,2.0,25,2,15,14063105.0,12274.7,0.133,7
Jubilee Hills,875.7,2,2,2.0,5,0,17,12329822.0,14080.0,0.0,7
Financial District,1493.7,3,3,1.0,10,18,20,14304668.0,9576.7,0.9,4
Madhapur,1243.8,2,3,1.0,5,5,14,11039369.0,8875.5,0.357,12
Kukatpally,1142.6,2,2,1.0,0,15,20,6771331.0,5926.2,0.75,10
Kondapur,2911.7,5,5,1.0,20,2,3,17818294.0,6119.6,0.667,9
Uppal,1484.1,3,4,2.0,10,21,21,6263509.0,4220.4,1.0,19
Begumpet,1078.4,2,2,2.0,5,2,12,9300579.0,8624.4,0.167,2
Gachibowli,620.8,1,2,2.0,2,3,23,5384736.0,8673.9,0.13,5
Kukatpally,1971.5,4,4,1.0,10,10,19,12262081.0,6219.7,0.526,10
Begumpet,1130.5,2,2,1.0,0,2,18,9476188.0,8382.3,0.111,2
Ameerpet,1192.5,2,2,1.0,7,19,23,7539238.0,6322.2,0.826,0
Madhapur,1963.2,3,3,1.0,1,1,8,15546681.0,7919.1,0.125,12
Madhapur,2068.5,4,5,0.0,7,3,23,15724387.0,7601.8,0.13,12
Jubilee Hills,590.0,1,1,1.0,2,10,21,8627658.0,14623.1,0.476,7
Kompally,1296.6,2,2,1.0,5,9,15,6620977.0,5106.4,0.6,8
Ameerpet,2099.7,3,4,2.0,2,0,8,13158002.0,6266.6,0.0,0
Nizampet,1325.1,2,2,1.0,25,0,11,5876243.0,4434.6,0.0,16
Manikonda,2137.2,4,4,1.0,7,11,22,13849879.0,6480.4,0.5,13
Shaikpet,1603.6,3,3,1.0,0,3,12,12043587.0,7510.3,0.25,17
Shaikpet,1044.4,2,2,3.0,5,24,24,7666552.0,7340.6,1.0,17
Ameerpet,2217.8,4,4,1.0,0,4,23,13149425.0,5929.0,0.174,0
Gachibowli,1344.2,3,4,0.0,3,2,16,11452651.0,8520.0,0.125,5
Uppal,1759.9,3,3,2.0,20,1,4,6157117.0,3498.6,0.25,19
LB Nagar,1859.0,3,4,1.0,2,6,22,9773628.0,5257.5,0.273,11
Begumpet,1125.5,3,3,1.0,3,17,18,9671855.0,8593.4,0.944,2
Miyapur,3447.7,5,6,1.0,0,6,7,20453265.0,5932.4,0.857,14
Gachibowli,2207.9,4,4,0.0,0,14,20,18169505.0,8229.3,0.7,5
Nallagandla,1165.2,2,3,1.0,3,4,14,7981856.0,6850.2,0.286,15
LB Nagar,1235.7,2,2,1.0,20,12,16,5078720.0,4110.0,0.75,11
Shaikpet,1846.1,3,3,2.0,25,11,14,11317547.0,6130.5,0.786,17
Nallagandla,1784.0,3,3,1.0,10,2,2,11923085.0,6683.3,1.0,15
LB Nagar,2344.1,4,4,1.0,5,13,14,10102893.0,4309.9,0.929,11
Ameerpet,1307.5,3,3,1.0,3,10,20,9512633.0,7275.4,0.5,0
Kukatpally,1307.7,2,2,1.0,5,12,24,6919630.0,5291.5,0.5,10
Miyapur,1316.2,2,2,1.0,7,8,14,6860853.0,5212.6,0.571,14
Tellapur,1429.9,3,3,1.0,5,1,10,9450690.0,6609.3,0.1,18
Shaikpet,1122.1,2,2,1.0,1,4,4,7970668.0,7103.3,1.0,17
Financial District,580.6,1,1,1.0,2,10,18,5561818.0,9579.4,0.556,4
Uppal,1221.4,2,2,1.0,5,5,22,5212989.0,4268.0,0.227,19
Nallagandla,944.5,2,2,1.0,10,3,16,5835509.0,6178.4,0.188,15
Tellapur,1628.7,3,3,2.0,7,3,14,11670417.0,7165.5,0.214,18
Manikonda,1571.3,3,4,1.0,0,10,22,10032617.0,6384.9,0.455,13
Financial District,1799.5,4,5,0.0,5,23,23,16268526.0,9040.6,1.0,4
Kondapur,3414.9,5,5,2.0,10,19,19,25021237.0,7327.1,1.0,9
Miyapur,800.2,1,2,1.0,1,5,12,4251332.0,5312.8,0.417,14
LB Nagar,1550.7,3,3,1.0,10,8,25,5716300.0,3686.3,0.32,11
Hitech City,2608.8,4,4,2.0,7,16,20,22679614.0,8693.5,0.8,6
Ameerpet,1592.2,3,3,2.0,15,12,14,9255631.0,5813.1,0.857,0
Kondapur,2144.1,4,5,3.0,7,16,24,16469957.0,7681.5,0.667,9
Kompally,1442.8,3,3,2.0,15,2,15,6604607.0,4577.6,0.133,8
Ameerpet,1316.0,2,3,3.0,2,8,8,9078035.0,6898.2,1.0,0
Nizampet,1817.4,3,3,2.0,1,6,9,10635007.0,5851.8,0.667,16
Jubilee Hills,1580.6,3,3,2.0,5,3,19,24557500.0,15536.8,0.158,7
Gachibowli,1479.7,3,4,2.0,7,3,4,14335508.0,9688.1,0.75,5
Kompally,1456.3,3,4,2.0,1,13,19,8593133.0,5900.7,0.684,8
Shaikpet,655.7,1,2,1.0,2,12,16,4831609.0,7368.6,0.75,17
Nallagandla,1158.3,2,3,2.0,2,1,3,7894563.0,6815.6,0.333,15
Begumpet,1188.8,2,2,2.0,5,5,7,7499922.0,6308.8,0.714,2
Tellapur,788.5,2,3,1.0,5,21,22,5033686.0,6383.9,0.955,18
Financial District,2419.1,4,4,1.0,0,4,5,24759926.0,10235.2,0.8,4
Kondapur,1259.5,2,2,0.0,1,1,6,8918697.0,7081.1,0.167,9
Banjara Hills,594.3,1,1,0.0,10,2,2,7933295.0,13349.0,1.0,1
Jubilee Hills,1439.2,3,3,2.0,7,8,11,19998301.0,13895.4,0.727,7
Hitech City,2228.8,4,5,1.0,7,17,25,19669168.0,8825.0,0.68,6
Nizampet,1840.2,3,4,2.0,7,1,3,9959323.0,5412.1,0.333,16
LB Nagar,2370.5,4,5,1.0,20,18,25,8056518.0,3398.7,0.72,11
Madhapur,1003.2,2,2,0.0,1,2,24,7747769.0,7723.1,0.083,12
Kukatpally,1727.1,4,4,3.0,0,16,24,11194465.0,6481.7,0.667,10
Madhapur,1214.1,2,2,1.0,1,1,13,9682146.0,7974.8,0.077,12
Financial District,1988.5,3,3,1.0,5,0,17,18190169.0,9147.7,0.0,4
Hitech City,2254.6,4,4,1.0,3,5,5,20400303.0,9048.3,1.0,6
Kompally,1975.1,3,3,1.0,15,8,23,9480023.0,4799.8,0.348,8
LB Nagar,1601.8,3,4,1.0,1,12,24,6737863.0,4206.4,0.5,11
Kondapur,1260.0,2,2,2.0,5,2,2,9253318.0,7343.9,1.0,9
Madhapur,1057.5,2,3,1.0,1,8,10,9541982.0,9023.2,0.8,12
Kondapur,2626.2,4,4,1.0,2,6,7,19520951.0,7433.2,0.857,9
Manikonda,1320.8,2,2,1.0,1,9,16,8750142.0,6624.9,0.562,13
Uppal,1968.5,3,3,2.0,1,10,15,9958973.0,5059.2,0.667,19
Shaikpet,1715.9,3,3,1.0,3,2,2,9803825.0,5713.5,1.0,17
Manikonda,1511.0,3,3,1.0,1,0,2,9276206.0,6139.1,0.0,13
Gachibowli,1903.5,4,5,1.0,1,15,19,16533856.0,8686.0,0.789,5
Tellapur,1583.4,3,3,0.0,15,3,11,8582705.0,5420.4,0.273,18
Gachibowli,1691.3,3,3,0.0,5,23,25,14399975.0,8514.1,0.92,5
Begumpet,1877.0,4,5,2.0,3,11,15,14717029.0,7840.7,0.733,2
Bowenpally,1215.2,3,4,1.0,10,2,18,5931210.0,4880.9,0.111,3
Kukatpally,2426.1,4,4,1.0,0,0,23,16132967.0,6649.8,0.0,10
Bowenpally,637.6,1,1,1.0,7,15,21,3169920.0,4971.6,0.714,3
Kondapur,1369.8,3,3,2.0,5,3,4,9901115.0,7228.1,0.75,9
Hitech City,1632.7,3,3,2.0,5,13,14,15927874.0,9755.5,0.929,6
Banjara Hills,1105.3,3,3,0.0,3,6,14,15950592.0,14431.0,0.429,1
Bowenpally,1974.5,4,5,1.0,10,3,3,9800309.0,4963.4,1.0,3
Hitech City,1205.5,2,2,1.0,1,11,19,11164760.0,9261.5,0.579,6
LB Nagar,1845.8,4,4,2.0,3,10,22,9060342.0,4908.6,0.455,11
Gachibowli,1584.9,3,3,1.0,7,0,6,13232389.0,8349.0,0.0,5
Begumpet,1171.4,2,3,2.0,7,7,11,7807206.0,6664.9,0.636,2
Financial District,1273.9,2,2,0.0,5,9,11,11271157.0,8847.8,0.818,4
Bowenpally,1192.9,2,2,1.0,1,4,11,5537997.0,4642.5,0.364,3
Hitech City,1484.8,3,3,1.0,0,8,13,14638926.0,9859.2,0.615,6
Banjara Hills,1698.1,3,3,2.0,1,11,11,21995317.0,12952.9,1.0,1
Kompally,2508.0,4,4,0.0,15,6,24,11684468.0,4658.9,0.25,8
Nallagandla,863.3,2,3,0.0,5,5,19,5402617.0,6258.1,0.263,15
Uppal,1152.5,2,3,1.0,5,19,19,5589185.0,4849.6,1.0,19
Miyapur,1153.1,2,3,0.0,5,6,12,5710672.0,4952.5,0.5,14
Banjara Hills,887.1,2,3,1.0,20,1,3,9781459.0,11026.3,0.333,1
Begumpet,1141.6,2,2,1.0,2,7,25,8358800.0,7322.0,0.28,2
Miyapur,1175.7,2,2,1.0,5,2,11,6842257.0,5819.7,0.182,14
Shaikpet,1971.0,3,3,1.0,20,7,22,11722825.0,5947.7,0.318,17
Shaikpet,2555.8,4,4,1.0,15,1,13,18266035.0,7146.9,0.077,17
Kukatpally,1874.0,3,4,0.0,3,11,25,11458292.0,6114.4,0.44,10
Ameerpet,710.4,1,1,1.0,1,12,21,4866543.0,6850.4,0.571,0
Nallagandla,1013.1,2,3,2.0,7,15,16,6528351.0,6443.9,0.938,15
Hitech City,1345.6,3,4,0.0,2,12,17,12417912.0,9228.5,0.706,6
Nizampet,1571.4,3,4,1.0,25,4,9,7054540.0,4489.3,0.444,16
Manikonda,752.3,1,2,0.0,5,19,23,4671911.0,6210.2,0.826,13
Financial District,1173.1,2,2,3.0,2,2,2,11793947.0,10053.7,1.0,4
Nallagandla,1778.6,3,3,1.0,2,5,13,12483636.0,7018.8,0.385,15
Hitech City,2263.4,4,4,1.0,7,4,10,19009360.0,8398.6,0.4,6
Shaikpet,2058.0,3,3,1.0,5,1,14,14451939.0,7022.3,0.071,17
Begumpet,1028.2,2,3,1.0,20,2,25,6007659.0,5842.9,0.08,2
Kompally,2384.9,4,5,1.0,7,3,10,10654971.0,4467.7,0.3,8
Kondapur,1155.3,2,3,1.0,5,23,24,9530067.0,8249.0,0.958,9
Bowenpally,1914.9,3,4,1.0,5,13,13,10655852.0,5564.7,1.0,3
Hitech City,1806.6,3,4,1.0,1,3,22,17150556.0,9493.3,0.136,6
Miyapur,1180.8,2,2,3.0,5,16,16,7516329.0,6365.5,1.0,14
Shaikpet,2629.6,4,4,1.0,7,12,20,19984428.0,7599.8,0.6,17
Miyapur,1083.2,2,3,1.0,25,8,11,4754189.0,4389.0,0.727,14
Nizampet,522.8,1,1,1.0,5,0,2,2676383.0,5119.3,0.0,16
Kondapur,1627.5,3,3,0.0,1,7,21,11916238.0,7321.8,0.333,9
Madhapur,1752.0,3,3,1.0,5,0,12,12289297.0,7014.4,0.0,12
Hitech City,1826.9,3,4,1.0,7,13,17,16343866.0,8946.2,0.765,6
LB Nagar,1698.2,3,3,1.0,3,0,2,6682032.0,3934.8,0.0,11
Financial District,2011.2,4,5,1.0,0,19,21,17543390.0,8722.8,0.905,4
Miyapur,1128.0,2,2,2.0,0,2,3,6582279.0,5835.4,0.667,14
Uppal,2037.0,3,4,2.0,0,2,3,10366483.0,5089.1,0.667,19
Hitech City,1732.9,3,4,1.0,15,3,9,13747498.0,7933.2,0.333,6
Madhapur,1139.5,2,2,1.0,0,11,20,9695509.0,8508.6,0.55,12
Shaikpet,1065.7,2,2,1.0,3,2,16,7598321.0,7129.9,0.125,17
Uppal,1025.7,2,3,1.0,1,5,8,4888622.0,4766.1,0.625,19
Shaikpet,2362.1,4,5,2.0,2,5,9,16150229.0,6837.2,0.556,17
Banjara Hills,1137.3,2,2,2.0,2,2,20,15226028.0,13387.9,0.1,1
Shaikpet,1254.8,2,3,1.0,2,5,12,8769464.0,6988.7,0.417,17
Ameerpet,1338.5,3,3,1.0,2,9,19,7920862.0,5917.7,0.474,0
Madhapur,1951.4,3,3,1.0,10,8,8,15022557.0,7698.3,1.0,12
Uppal,1701.9,3,3,1.0,10,3,3,6846289.0,4022.7,1.0,19
Begumpet,639.2,1,1,1.0,20,4,4,4431843.0,6933.4,1.0,2
Miyapur,1508.3,3,4,0.0,7,5,21,7564826.0,5015.5,0.238,14
Uppal,1015.6,2,2,1.0,25,2,4,3893622.0,3833.8,0.5,19
Hitech City,1122.8,2,2,1.0,10,5,5,9129565.0,8131.1,1.0,6
Kompally,564.7,1,1,1.0,25,3,14,2403174.0,4255.7,0.214,8
Banjara Hills,1294.4,2,2,2.0,2,7,13,19969576.0,15427.7,0.538,1
Gachibowli,1864.6,3,4,1.0,10,12,17,17330659.0,9294.6,0.706,5
Financial District,1820.4,3,4,1.0,7,2,3,14622835.0,8032.8,0.667,4
Tellapur,508.9,1,2,1.0,7,1,3,3243416.0,6373.4,0.333,18
Ameerpet,1730.0,3,3,2.0,10,19,23,11383215.0,6579.9,0.826,0
Begumpet,1704.8,3,4,1.0,5,1,8,13636014.0,7998.6,0.125,2
Madhapur,1149.7,2,2,1.0,3,1,13,10115108.0,8798.0,0.077,12
Jubilee Hills,1101.1,2,2,2.0,2,6,6,19162010.0,17402.6,1.0,7
Kondapur,2115.9,4,4,0.0,2,4,11,15530379.0,7339.8,0.364,9
Madhapur,1213.9,2,2,3.0,15,6,20,7331363.0,6039.5,0.3,12
Hitech City,1742.8,3,4,3.0,0,0,2,18080389.0,10374.3,0.0,6
Kondapur,3387.1,5,6,1.0,7,0,8,25371480.0,7490.6,0.0,9
Kukatpally,1627.2,3,4,2.0,3,0,6,9645699.0,5927.8,0.0,10
Banjara Hills,1512.5,3,4,1.0,20,1,4,16281926.0,10764.9,0.25,1
Gachibowli,1305.2,2,3,1.0,2,15,16,12868123.0,9859.1,0.938,5
Jubilee Hills,683.5,1,2,3.0,5,1,3,9537706.0,13954.2,0.333,7
Madhapur,1436.9,3,4,1.0,3,5,8,11967482.0,8328.7,0.625,12
Tellapur,2452.3,4,4,2.0,3,8,17,18057926.0,7363.7,0.471,18
Begumpet,1814.2,3,4,1.0,3,6,8,14493201.0,7988.8,0.75,2
Nallagandla,2649.9,4,4,1.0,5,12,25,17615559.0,6647.6,0.48,15
Uppal,1219.6,2,3,2.0,7,10,10,5687971.0,4663.8,1.0,19
Kompally,1236.6,2,2,1.0,3,4,4,6707894.0,5424.5,1.0,8
Madhapur,1691.0,3,4,2.0,5,15,25,13790267.0,8155.1,0.6,12
LB Nagar,1689.5,3,3,1.0,1,6,15,7447936.0,4408.4,0.4,11
Kukatpally,1081.3,2,2,1.0,20,3,25,5540432.0,5123.9,0.12,10
Ameerpet,1036.9,2,3,1.0,3,2,2,6921728.0,6675.4,1.0,0
Uppal,2256.2,4,4,2.0,1,14,17,11840814.0,5248.1,0.824,19
Ameerpet,1092.4,2,2,1.0,1,3,22,7154383.0,6549.2,0.136,0
Hitech City,1063.2,2,2,1.0,2,3,5,9225979.0,8677.6,0.6,6
Kondapur,683.0,1,1,1.0,3,3,3,3925446.0,5747.4,1.0,9
Ameerpet,1434.0,3,4,1.0,10,1,6,8994262.0,6272.1,0.167,0
Ameerpet,1351.0,3,3,1.0,0,10,11,9073194.0,6715.9,0.909,0
Bowenpally,3444.7,5,5,2.0,2,13,19,17129337.0,4972.7,0.684,3
Begumpet,1239.3,2,2,1.0,0,2,8,10124244.0,8169.3,0.25,2
Uppal,2526.0,4,4,0.0,10,3,14,10709169.0,4239.6,0.214,19
Kompally,1608.3,3,4,1.0,25,8,14,6757598.0,4201.7,0.571,8
Manikonda,1067.7,2,2,2.0,3,9,10,6515296.0,6102.2,0.9,13
Nallagandla,1823.4,3,3,1.0,5,11,11,12836955.0,7040.1,1.0,15
Manikonda,1559.0,3,4,0.0,3,2,24,8851907.0,5677.9,0.083,13
Nizampet,725.2,1,1,1.0,15,0,13,3520310.0,4854.3,0.0,16
Hitech City,1419.6,3,3,0.0,0,20,23,15166101.0,10683.4,0.87,6
Shaikpet,1207.7,2,3,3.0,1,8,9,8039525.0,6656.9,0.889,17
Uppal,1072.2,2,2,0.0,5,17,20,5009698.0,4672.4,0.85,19
Manikonda,1525.4,3,4,1.0,25,7,8,7993793.0,5240.5,0.875,13
Gachibowli,1675.8,3,3,2.0,0,6,12,14352707.0,8564.7,0.5,5
