Location,Area_SqFt,BHK,Bathrooms,Parking,Property_Age,Floor_Number,Total_Floors,Price,Price_Per_SqFt
Banjara Hills,1501.3,3,4,1.0,7,2,5,20207446.0,13459.6
LB Nagar,695.4,1,1,2.0,15,1,10,2671591.0,3842.1
Begumpet,520.5,1,1,1.0,3,16,21,4558946.0,8759.1
Financial District,1927.9,3,3,1.0,15,15,18,18015796.0,9344.9
Financial District,1754.9,3,3,2.0,2,10,14,18129755.0,10330.8
Ameerpet,999.6,2,2,1.0,20,10,13,5308642.0,5310.6
Begumpet,1444.0,3,3,1.0,20,5,18,9545689.0,6610.5
Begumpet,1489.0,3,3,2.0,5,12,15,12167237.0,8171.3
Hitech City,2256.8,4,5,2.0,10,11,21,21886603.0,9698.1
Jubilee Hills,1719.2,3,3,2.0,2,13,25,23200303.0,13494.6
Tellapur,2025.6,3,3,2.0,10,7,7,12391354.0,6117.5
LB Nagar,2976.1,4,4,1.0,25,10,12,10012335.0,3364.3
Uppal,1007.6,2,2,1.0,0,4,4,4960989.0,4923.5
Manikonda,1176.7,2,3,2.0,1,15,21,7520339.0,6391.0
Uppal,1889.6,4,5,1.0,5,11,22,7775637.0,4115.0
Shaikpet,1773.9,3,3,0.0,3,17,19,13367097.0,7535.6
Kukatpally,1420.8,2,3,1.0,2,0,20,8601820.0,6054.1
Kondapur,1761.5,3,3,2.0,15,1,15,10830551.0,6148.7
LB Nagar,1255.3,3,4,2.0,7,12,14,4773711.0,3802.7
Banjara Hills,1726.5,3,3,1.0,3,19,23,24771764.0,14348.0
Tellapur,662.8,1,2,1.0,7,6,12,4459147.0,6727.6
Ameerpet,2254.1,4,5,1.0,10,2,4,13591712.0,6029.9
LB Nagar,1269.6,2,3,3.0,10,3,15,5968135.0,4701.0
Kondapur,1974.1,3,4,1.0,5,1,3,13003232.0,6586.9
Kondapur,1125.6,2,2,1.0,1,3,6,7275532.0,6463.7
Financial District,3408.6,5,5,0.0,15,3,18,26327353.0,7723.7
Nizampet,696.4,1,1,1.0,15,22,25,3335427.0,4789.4
Banjara Hills,2534.9,4,4,1.0,10,7,15,37645495.0,14850.9
Financial District,659.1,1,1,3.0,3,9,24,6483508.0,9837.2
Banjara Hills,1757.3,3,4,2.0,15,14,16,26427868.0,15039.0
Kondapur,1653.3,3,3,2.0,5,2,7,11480207.0,6943.9
Kondapur,1108.0,2,3,1.0,5,0,9,7984130.0,7205.9
Bowenpally,1412.8,2,2,1.0,2,7,8,8172409.0,5784.7
Nizampet,1692.9,3,3,1.0,1,5,14,8519007.0,5032.1
Banjara Hills,2681.4,4,4,1.0,10,1,4,39650113.0,14787.2
Financial District,2641.8,4,4,1.0,25,4,10,19127463.0,7240.4
LB Nagar,1190.9,2,3,2.0,1,0,2,5423304.0,4554.1
Begumpet,1012.0,2,3,3.0,7,12,16,7469382.0,7380.6
Kondapur,707.9,1,2,2.0,5,1,8,5445992.0,7693.3
Kompally,2134.6,4,4,1.0,20,11,11,8896203.0,4167.7
LB Nagar,1042.7,2,2,1.0,10,7,9,4390077.0,4210.2
Miyapur,1087.9,2,3,1.0,10,20,22,6474714.0,5951.6
Tellapur,2123.4,4,4,2.0,5,0,10,14111026.0,6645.6
Financial District,1012.5,2,2,0.0,7,5,18,8434860.0,8331.0
Uppal,1270.5,2,2,1.0,3,10,18,5241366.0,4125.3
Hitech City,3536.4,5,6,1.0,2,7,9,35415746.0,10014.6
Jubilee Hills,1152.6,2,3,3.0,3,3,7,17493550.0,15176.9
Nallagandla,1009.6,2,2,1.0,20,1,4,5964042.0,5907.0
Manikonda,1937.4,4,4,1.0,1,16,17,13541470.0,6989.4
Begumpet,1571.8,3,4,2.0,3,6,13,12796082.0,8141.0
Hitech City,997.6,2,2,1.0,3,16,21,9902442.0,9926.4
LB Nagar,1181.6,2,2,1.0,2,14,21,5910500.0,5001.9
Kompally,1292.5,3,3,0.0,1,3,24,7080007.0,5477.8
Shaikpet,1159.2,2,3,1.0,5,16,21,8852188.0,7636.3
Tellapur,2266.1,4,4,1.0,1,5,14,15951783.0,7039.2
Gachibowli,768.3,1,1,2.0,5,6,13,6915743.0,9001.6
Nizampet,1716.2,3,4,3.0,2,14,22,9700537.0,5652.4
Banjara Hills,660.1,1,1,1.0,7,0,2,8667791.0,13131.0
Manikonda,1209.3,2,2,1.0,3,16,16,8111843.0,6708.0
Bowenpally,1706.0,3,3,2.0,5,14,15,9074523.0,5319.2
Tellapur,2186.4,4,4,1.0,20,4,7,13700220.0,6266.0
Bowenpally,1238.4,2,2,1.0,7,17,19,6569153.0,5304.7
Hitech City,1582.2,3,3,1.0,7,11,12,14565960.0,9206.3
Financial District,705.7,1,1,2.0,10,6,18,5550380.0,7864.6
Kukatpally,3812.9,5,5,1.0,2,14,16,23447965.0,6149.7
Hitech City,1563.2,3,3,2.0,0,7,9,13945197.0,8920.8
Begumpet,1694.6,3,4,1.0,10,17,19,13242784.0,7814.7
Gachibowli,1978.1,4,5,2.0,0,25,25,15795004.0,7984.9
Kompally,1150.4,2,2,1.0,5,4,10,6224091.0,5410.4
Manikonda,1605.3,3,3,0.0,25,3,5,7914672.0,4930.3
Bowenpally,1909.0,3,4,3.0,3,10,17,9713044.0,5088.1
Nizampet,3228.2,5,6,2.0,1,8,10,17240823.0,5340.7
Manikonda,1508.4,3,3,1.0,1,7,14,9000743.0,5967.0
Ameerpet,1779.5,3,4,1.0,10,2,15,11304872.0,6352.8
LB Nagar,1144.6,2,3,3.0,2,1,18,5106133.0,4461.1
Miyapur,637.7,1,2,2.0,20,10,13,3200343.0,5018.9
Begumpet,1016.0,2,2,0.0,0,7,16,8593507.0,8457.9
Kondapur,956.7,2,2,1.0,1,3,18,7034428.0,7353.0
Tellapur,2269.5,4,4,2.0,0,13,17,15581143.0,6865.6
Manikonda,1721.9,3,4,1.0,7,18,21,11257850.0,6538.0
Nizampet,1770.5,3,3,1.0,2,1,5,9840479.0,5558.1
Ameerpet,1193.3,2,2,2.0,2,3,23,8329846.0,6980.5
LB Nagar,2023.4,4,4,1.0,7,8,21,8077961.0,3992.3
Hitech City,1167.7,2,2,0.0,0,1,13,10281919.0,8805.0
Nizampet,3542.9,5,6,1.0,5,2,3,20846352.0,5884.0
LB Nagar,1954.9,3,3,1.0,0,7,12,9514255.0,4867.0
Jubilee Hills,1180.0,2,2,1.0,5,11,12,16550050.0,14025.3
Jubilee Hills,1781.0,3,4,1.0,0,7,12,28624546.0,16071.9
Shaikpet,1560.3,3,4,1.0,7,1,17,11110277.0,7120.7
LB Nagar,1048.5,2,3,1.0,7,5,10,4583587.0,4371.4
Manikonda,989.3,2,2,2.0,1,1,17,6557111.0,6628.3
Banjara Hills,1314.9,2,3,1.0,10,3,20,18105068.0,13768.7
Banjara Hills,1686.6,3,3,1.0,0,4,15,25948311.0,15385.2
Shaikpet,1201.9,2,2,2.0,25,13,23,7219380.0,6006.5
Ameerpet,2588.6,5,6,1.0,5,12,24,17542776.0,6776.9
Ameerpet,1313.8,2,2,0.0,10,16,17,8853442.0,6739.0
Nizampet,2277.0,4,4,2.0,7,14,15,9626044.0,4227.5
Kukatpally,578.5,1,1,0.0,5,3,9,3648512.0,6306.5
Financial District,2667.7,4,4,2.0,25,6,9,21213860.0,7952.2
Jubilee Hills,1145.7,2,2,2.0,25,2,15,14063105.0,12275.2
Jubilee Hills,875.7,2,2,2.0,5,0,17,12329822.0,14079.2
Financial District,1493.7,3,3,1.0,10,18,20,14304668.0,9576.3
Madhapur,1243.8,2,3,1.0,5,5,14,11039369.0,8875.7
Kukatpally,1142.6,2,2,1.0,0,15,20,6771331.0,5926.4
Kondapur,2911.7,5,5,1.0,20,2,3,17818294.0,6119.5
Uppal,1484.1,3,4,2.0,10,21,21,6263509.0,4220.3
Begumpet,1078.4,2,2,2.0,5,2,12,9300579.0,8624.8
Gachibowli,620.8,1,2,2.0,2,3,23,5384736.0,8673.7
Kukatpally,1971.5,4,4,1.0,10,10,19,12262081.0,6219.7
Begumpet,1130.5,2,2,1.0,0,2,18,9476188.0,8382.2
Ameerpet,1192.5,2,2,1.0,7,19,23,7539238.0,6322.1
Madhapur,1963.2,3,3,1.0,1,1,8,15546681.0,7919.1
Madhapur,2068.5,4,5,0.0,7,3,23,15724387.0,7601.7
Jubilee Hills,590.0,1,1,1.0,2,10,21,8627658.0,14623.3
Kompally,1296.6,2,2,1.0,5,9,15,6620977.0,5106.6
Ameerpet,2099.7,3,4,2.0,2,0,8,13158002.0,6266.5
Nizampet,1325.1,2,2,1.0,25,0,11,5876243.0,4434.5
Manikonda,2137.2,4,4,1.0,7,11,22,13849879.0,6480.4
Shaikpet,1603.6,3,3,1.0,0,3,12,12043587.0,7510.3
Shaikpet,1044.4,2,2,3.0,5,24,24,7666552.0,7340.6
Ameerpet,2217.8,4,4,1.0,0,4,23,13149425.0,5929.0
Gachibowli,1344.2,3,4,0.0,3,2,16,11452651.0,8520.0
Uppal,1759.9,3,3,2.0,20,1,4,6157117.0,3498.6
LB Nagar,1859.0,3,4,1.0,2,6,22,9773628.0,5257.5
Begumpet,1125.5,3,3,1.0,3,17,18,9671855.0,8593.6
Miyapur,3447.7,5,6,1.0,0,6,7,20453265.0,5932.4
Gachibowli,2207.9,4,4,0.0,0,14,20,18169505.0,8229.4
Nallagandla,1165.2,2,3,1.0,3,4,14,7981856.0,6850.0
LB Nagar,1235.7,2,2,1.0,20,12,16,5078720.0,4110.1
Shaikpet,1846.1,3,3,2.0,25,11,14,11317547.0,6130.7
Nallagandla,1784.0,3,3,1.0,10,2,2,11923085.0,6683.4
LB Nagar,2344.1,4,4,1.0,5,13,14,10102893.0,4310.0
Ameerpet,1307.5,3,3,1.0,3,10,20,9512633.0,7275.7
Kukatpally,1307.7,2,2,1.0,5,12,24,6919630.0,5291.5
Miyapur,1316.2,2,2,1.0,7,8,14,6860853.0,5212.4
Tellapur,1429.9,3,3,1.0,5,1,10,9450690.0,6609.3
Shaikpet,1122.1,2,2,1.0,1,4,4,7970668.0,7103.0
Financial District,580.6,1,1,1.0,2,10,18,5561818.0,9579.1
Banjara Hills,2645.9,4,4,2.0,20,1,2,32927360.0,12444.9
Uppal,1221.4,2,2,1.0,5,5,22,5212989.0,4268.0
Nallagandla,944.5,2,2,1.0,10,3,16,5835509.0,6178.4
Tellapur,1628.7,3,3,2.0,7,3,14,11670417.0,7165.3
Manikonda,1571.3,3,4,1.0,0,10,22,10032617.0,6384.9
Financial District,1799.5,4,5,0.0,5,23,23,16268526.0,9040.3
Kondapur,3414.9,5,5,2.0,10,19,19,25021237.0,7327.0
Miyapur,800.2,1,2,,1,5,12,4251332.0,5312.5
LB Nagar,1550.7,3,3,1.0,10,8,25,5716300.0,3686.2
Hitech City,2608.8,4,4,2.0,7,16,20,22679614.0,8693.5
Ameerpet,1592.2,3,3,2.0,15,12,14,9255631.0,5813.2
Kondapur,2144.1,4,5,3.0,7,16,24,16469957.0,7681.7
Kompally,1442.8,3,3,2.0,15,2,15,6604607.0,4577.6
Ameerpet,1316.0,2,3,3.0,2,8,8,9078035.0,6898.1
Nizampet,1817.4,3,3,2.0,1,6,9,10635007.0,5851.7
Jubilee Hills,1580.6,3,3,2.0,5,3,19,24557500.0,15537.2
Gachibowli,1479.7,3,4,2.0,7,3,4,14335508.0,9688.2
Kompally,1456.3,3,4,2.0,1,13,19,8593133.0,5900.7
Shaikpet,655.7,1,2,1.0,2,12,16,4831609.0,7368.9
Nallagandla,1158.3,2,3,2.0,2,1,3,7894563.0,6815.7
Begumpet,1188.8,2,2,2.0,5,5,7,7499922.0,6308.9
Tellapur,788.5,2,3,1.0,5,21,22,5033686.0,6383.5
Financial District,2419.1,4,4,1.0,0,4,5,24759926.0,10235.3
Kondapur,1259.5,2,2,0.0,1,1,6,8918697.0,7081.4
Banjara Hills,594.3,1,1,0.0,10,2,2,7933295.0,13350.0
Jubilee Hills,1439.2,3,3,2.0,7,8,11,19998301.0,13895.8
Hitech City,2228.8,4,5,1.0,7,17,25,19669168.0,8825.0
Nizampet,1840.2,3,4,2.0,7,1,3,9959323.0,5412.0
Hitech City,3323.7,5,6,1.0,5,0,15,29415957.0,8850.4
LB Nagar,2370.5,4,5,1.0,20,18,25,8056518.0,3398.7
Madhapur,1003.2,2,2,0.0,1,2,24,7747769.0,7723.1
Kukatpally,1727.1,4,4,3.0,0,16,24,11194465.0,6481.5
Madhapur,1214.1,2,2,1.0,1,1,13,9682146.0,7974.9
Financial District,1988.5,3,3,1.0,5,0,17,18190169.0,9147.5
Hitech City,2254.6,4,4,1.0,3,5,5,20400303.0,9048.1
Kompally,1975.1,3,3,1.0,15,8,23,9480023.0,4799.7
LB Nagar,1601.8,3,4,1.0,1,12,24,6737863.0,4206.5
Kondapur,1260.0,2,2,2.0,5,2,2,9253318.0,7344.0
Madhapur,1057.5,2,3,1.0,1,8,10,9541982.0,9022.9
Kondapur,2626.2,4,4,1.0,2,6,7,19520951.0,7433.1
Manikonda,1320.8,2,2,1.0,1,9,16,8750142.0,6624.9
Uppal,1968.5,3,3,2.0,1,10,15,9958973.0,5059.1
Shaikpet,1715.9,3,3,1.0,3,2,2,9803825.0,5713.4
Manikonda,1511.0,3,3,1.0,1,0,2,9276206.0,6139.0
Gachibowli,1903.5,4,5,1.0,1,15,19,16533856.0,8686.0
Tellapur,1583.4,3,3,0.0,15,3,11,8582705.0,5420.4
Gachibowli,1691.3,3,3,0.0,5,23,25,14399975.0,8514.2
Begumpet,1877.0,4,5,2.0,3,11,15,14717029.0,7840.8
Bowenpally,1215.2,3,4,1.0,10,2,18,5931210.0,4881.0
Kukatpally,2426.1,4,4,1.0,0,0,23,16132967.0,6649.7
Bowenpally,637.6,1,1,1.0,7,15,21,3169920.0,4971.5
Kondapur,1369.8,3,3,2.0,5,3,4,9901115.0,7228.3
Hitech City,1632.7,3,3,2.0,5,13,14,15927874.0,9755.6
Banjara Hills,1105.3,3,3,0.0,3,6,14,15950592.0,14431.0
Bowenpally,1974.5,4,5,1.0,10,3,3,9800309.0,4963.5
Hitech City,1205.5,2,2,1.0,1,11,19,11164760.0,9261.5
LB Nagar,1845.8,4,4,2.0,3,10,22,9060342.0,4908.6
Gachibowli,1584.9,3,3,1.0,7,0,6,13232389.0,8349.2
Begumpet,1171.4,2,3,2.0,7,7,11,7807206.0,6664.7
Financial District,1273.9,2,2,0.0,5,9,11,11271157.0,8847.5
Bowenpally,1192.9,2,2,,1,4,11,5537997.0,4642.3
Hitech City,1484.8,3,3,1.0,0,8,13,14638926.0,9859.2
Banjara Hills,1698.1,3,3,2.0,1,11,11,21995317.0,12953.0
Kompally,2508.0,4,4,0.0,15,6,24,11684468.0,4659.0
Nallagandla,863.3,2,3,0.0,5,5,19,5402617.0,6258.4
Uppal,1152.5,2,3,1.0,5,19,19,5589185.0,4849.7
Miyapur,1153.1,2,3,0.0,5,6,12,5710672.0,4952.4
Banjara Hills,887.1,2,3,1.0,20,1,3,9781459.0,11025.8
Begumpet,1141.6,2,2,1.0,2,7,25,8358800.0,7322.2
Miyapur,1175.7,2,2,1.0,5,2,11,6842257.0,5819.9
Shaikpet,1971.0,3,3,1.0,20,7,22,11722825.0,5947.8
Shaikpet,2555.8,4,4,1.0,15,1,13,18266035.0,7146.9
Kukatpally,1874.0,3,4,0.0,3,11,25,11458292.0,6114.5
Ameerpet,710.4,1,1,1.0,1,12,21,4866543.0,6850.6
Nallagandla,1013.1,2,3,2.0,7,15,16,6528351.0,6443.6
Hitech City,1345.6,3,4,0.0,2,12,17,12417912.0,9228.8
Nizampet,1571.4,3,4,1.0,25,4,9,7054540.0,4489.3
Manikonda,752.3,1,2,0.0,5,19,23,4671911.0,6210.4
Financial District,1173.1,2,2,3.0,2,2,2,11793947.0,10054.1
Nallagandla,1778.6,3,3,1.0,2,5,13,12483636.0,7018.9
Hitech City,2263.4,4,4,1.0,7,4,10,19009360.0,8398.5
Shaikpet,2058.0,3,3,1.0,5,1,14,14451939.0,7022.2
Begumpet,1028.2,2,3,1.0,20,2,25,6007659.0,5842.8
Kompally,2384.9,4,5,1.0,7,3,10,10654971.0,4467.6
Kondapur,1155.3,2,3,1.0,5,23,24,9530067.0,8248.9
Bowenpally,1914.9,3,4,1.0,5,13,13,10655852.0,5564.6
Hitech City,1806.6,3,4,1.0,1,3,22,17150556.0,9493.2
Miyapur,1180.8,2,2,3.0,5,16,16,7516329.0,6365.5
Shaikpet,2629.6,4,4,1.0,7,12,20,19984428.0,7599.8
Miyapur,1083.2,2,3,1.0,25,8,11,4754189.0,4389.1
Nizampet,522.8,1,1,,5,0,2,2676383.0,5119.3
Kondapur,1627.5,3,3,0.0,1,7,21,11916238.0,7321.9
Madhapur,1752.0,3,3,1.0,5,0,12,12289297.0,7014.5
Hitech City,1826.9,3,4,1.0,7,13,17,16343866.0,8946.4
LB Nagar,1698.2,3,3,1.0,3,0,2,6682032.0,3934.7
Financial District,2011.2,4,5,1.0,0,19,21,17543390.0,8722.8
Miyapur,1128.0,2,2,2.0,0,2,3,6582279.0,5835.5
Uppal,2037.0,3,4,2.0,0,2,3,10366483.0,5089.2
Hitech City,1732.9,3,4,1.0,15,3,9,13747498.0,7933.3
Madhapur,1139.5,2,2,1.0,0,11,20,9695509.0,8508.9
Shaikpet,1065.7,2,2,1.0,3,2,16,7598321.0,7129.9
Uppal,1025.7,2,3,1.0,1,5,8,4888622.0,4765.9
Shaikpet,2362.1,4,5,2.0,2,5,9,16150229.0,6837.2
Banjara Hills,1137.3,2,2,2.0,2,2,20,15226028.0,13387.3
Shaikpet,1254.8,2,3,1.0,2,5,12,8769464.0,6988.7
Ameerpet,1338.5,3,3,1.0,2,9,19,7920862.0,5917.9
Madhapur,1951.4,3,3,1.0,10,8,8,15022557.0,7698.3
Uppal,1701.9,3,3,1.0,10,3,3,6846289.0,4022.7
Begumpet,639.2,1,1,1.0,20,4,4,4431843.0,6933.9
Miyapur,1508.3,3,4,0.0,7,5,21,7564826.0,5015.6
Uppal,1015.6,2,2,1.0,25,2,4,3893622.0,3833.9
Hitech City,1122.8,2,2,1.0,10,5,5,9129565.0,8130.9
Kompally,564.7,1,1,1.0,25,3,14,2403174.0,4255.6
Banjara Hills,1294.4,2,2,2.0,2,7,13,19969576.0,15427.2
Gachibowli,1864.6,3,4,1.0,10,12,17,17330659.0,9294.5
Financial District,1820.4,3,4,1.0,7,2,3,14622835.0,8032.7
Tellapur,508.9,1,2,1.0,7,1,3,3243416.0,6373.0
Ameerpet,1730.0,3,3,2.0,10,19,23,11383215.0,6579.8
Begumpet,1704.8,3,4,1.0,5,1,8,13636014.0,7998.8
Madhapur,1149.7,2,2,1.0,3,1,13,10115108.0,8798.4
Jubilee Hills,1101.1,2,2,2.0,2,6,6,19162010.0,17403.1
Kondapur,2115.9,4,4,0.0,2,4,11,15530379.0,7339.7
Madhapur,1213.9,2,2,3.0,15,6,20,7331363.0,6039.7
Hitech City,1742.8,3,4,3.0,0,0,2,18080389.0,10374.5
Kondapur,3387.1,5,6,1.0,7,0,8,25371480.0,7490.6
Kukatpally,1627.2,3,4,2.0,3,0,6,9645699.0,5927.8
Banjara Hills,1512.5,3,4,1.0,20,1,4,16281926.0,10764.7
Gachibowli,1305.2,2,3,1.0,2,15,16,12868123.0,9858.9
Jubilee Hills,683.5,1,2,3.0,5,1,3,9537706.0,13954.8
Madhapur,1436.9,3,4,1.0,3,5,8,11967482.0,8328.4
Tellapur,2452.3,4,4,2.0,3,8,17,18057926.0,7363.6
Begumpet,1814.2,3,4,1.0,3,6,8,14493201.0,7988.8
Nallagandla,2649.9,4,4,1.0,5,12,25,17615559.0,6647.7
Uppal,1219.6,2,3,2.0,7,10,10,5687971.0,4663.9
Kompally,1236.6,2,2,1.0,3,4,4,6707894.0,5424.4
Madhapur,1691.0,3,4,2.0,5,15,25,13790267.0,8155.3
LB Nagar,1689.5,3,3,1.0,1,6,15,7447936.0,4408.4
Kukatpally,1081.3,2,2,,20,3,25,5540432.0,5123.7
Ameerpet,1036.9,2,3,1.0,3,2,2,6921728.0,6675.6
Uppal,2256.2,4,4,2.0,1,14,17,11840814.0,5248.1
Banjara Hills,2481.5,4,5,1.0,1,3,17,35530729.0,14318.0
Ameerpet,1092.4,2,2,1.0,1,3,22,7154383.0,6549.3
Hitech City,1063.2,2,2,1.0,2,3,5,9225979.0,8677.9
Kondapur,683.0,1,1,,3,3,3,3925446.0,5747.5
Ameerpet,1434.0,3,4,1.0,10,1,6,8994262.0,6272.1
Ameerpet,1351.0,3,3,1.0,0,10,11,9073194.0,6716.1
Bowenpally,3444.7,5,5,2.0,2,13,19,17129337.0,4972.7
Begumpet,1239.3,2,2,1.0,0,2,8,10124244.0,8169.1
Uppal,2526.0,4,4,0.0,10,3,14,10709169.0,4239.6
Kompally,1608.3,3,4,1.0,25,8,14,6757598.0,4201.7
Manikonda,1067.7,2,2,2.0,3,9,10,6515296.0,6102.2
Banjara Hills,2748.0,5,5,3.0,15,1,10,39888140.0,14515.1
Nallagandla,1823.4,3,3,1.0,5,11,11,12836955.0,7040.3
Manikonda,1559.0,3,4,0.0,3,2,24,8851907.0,5678.0
Nizampet,725.2,1,1,1.0,15,0,13,3520310.0,4854.1
Hitech City,1419.6,3,3,0.0,0,20,23,15166101.0,10683.7
Shaikpet,1207.7,2,3,3.0,1,8,9,8039525.0,6656.6
Uppal,1072.2,2,2,0.0,5,17,20,5009698.0,4672.3
Manikonda,1525.4,3,4,1.0,25,7,8,7993793.0,5240.4
Gachibowli,1675.8,3,3,2.0,0,6,12,14352707.0,8564.7
Jubilee Hills,1753.6,3,3,3.0,5,0,2,23329539.0,13303.8
Madhapur,1259.6,2,2,1.0,2,5,15,11602698.0,9211.4
Madhapur,1686.1,3,4,1.0,1,4,14,14881377.0,8825.7
Nallagandla,1115.5,2,2,2.0,20,2,3,6224765.0,5580.5
Madhapur,1333.3,2,3,1.0,2,4,13,10107344.0,7580.4
Financial District,1278.5,2,3,1.0,15,8,14,11913501.0,9318.2
Banjara Hills,542.3,1,1,3.0,10,3,4,7063904.0,13025.9
Manikonda,2079.2,4,5,1.0,2,1,3,12757838.0,6135.9
Uppal,1193.0,2,3,1.0,1,0,2,5120963.0,4292.6
Manikonda,1073.9,2,2,2.0,7,2,21,6521854.0,6073.1
Miyapur,2360.6,4,5,1.0,20,2,6,10023203.0,4246.0
Bowenpally,1181.7,2,2,1.0,2,8,9,6116614.0,5176.2
Financial District,518.9,1,2,2.0,7,3,7,5198691.0,10018.1
Shaikpet,1050.2,2,2,,5,4,6,7497495.0,7139.3
Uppal,1493.4,3,4,1.0,10,3,4,6353282.0,4254.2
LB Nagar,1967.7,3,3,1.0,5,19,19,8564594.0,4352.7
Miyapur,1165.8,2,2,1.0,1,17,24,6815603.0,5846.3
Nizampet,3311.3,5,5,1.0,2,7,11,18953267.0,5723.8
Shaikpet,1186.0,2,2,1.0,1,13,19,9192680.0,7750.7
Begumpet,1777.8,3,3,1.0,15,7,8,11925817.0,6708.1
Nizampet,2177.6,4,4,1.0,20,16,23,10135534.0,4654.4
Uppal,1140.8,2,2,1.0,2,10,22,5803235.0,5087.1
Ameerpet,888.9,2,2,1.0,5,2,9,5309492.0,5973.0
Bowenpally,1411.5,3,3,1.0,2,0,3,6853612.0,4855.6
Madhapur,1056.8,2,2,1.0,10,12,16,9140082.0,8648.8
Kompally,1740.9,3,3,1.0,2,13,18,8782941.0,5045.2
Tellapur,1367.1,2,2,0.0,1,1,6,9582422.0,7009.1
Nallagandla,1575.1,3,3,0.0,25,15,18,8687453.0,5515.5
Kondapur,1489.5,3,3,1.0,10,10,19,9994829.0,6710.1
Miyapur,634.5,1,2,1.0,10,11,12,3258075.0,5134.7
Banjara Hills,1190.8,2,2,1.0,5,0,4,16691909.0,14016.8
Financial District,1015.8,2,3,1.0,7,9,22,9912044.0,9758.2
Kukatpally,3168.3,5,6,0.0,10,3,6,20259970.0,6394.7
Kompally,1711.7,3,4,1.0,3,16,18,8146894.0,4759.7
Kukatpally,1175.5,2,2,2.0,5,0,8,7454439.0,6341.7
Kompally,1119.3,2,2,1.0,1,5,9,5487461.0,4902.4
Jubilee Hills,2314.8,4,4,2.0,20,13,19,32288123.0,13948.7
Shaikpet,2495.5,4,5,1.0,20,0,2,15171112.0,6079.5
Banjara Hills,960.0,2,2,2.0,7,6,8,11741411.0,12230.3
Kompally,1156.7,2,2,0.0,5,9,16,4846114.0,4189.5
LB Nagar,1010.2,2,2,2.0,1,1,3,3867931.0,3829.0
Uppal,1766.3,3,3,2.0,10,8,13,8583105.0,4859.4
Uppal,2030.5,4,4,1.0,0,14,22,8815393.0,4341.4
Kompally,1150.4,2,3,0.0,2,0,3,6208946.0,5397.0
Begumpet,822.0,1,2,1.0,3,5,16,6811851.0,8286.6
Miyapur,1658.2,3,3,1.0,3,0,6,9926401.0,5986.4
Tellapur,2764.4,5,5,3.0,2,17,21,20053373.0,7254.1
Financial District,1180.6,2,2,2.0,3,2,12,11059616.0,9367.7
Bowenpally,1173.4,2,2,1.0,7,0,18,7010317.0,5974.3
Begumpet,1468.7,3,3,1.0,5,4,22,11715803.0,7977.1
Manikonda,1466.0,3,3,1.0,3,0,10,9873324.0,6734.7
Nallagandla,1059.3,2,2,2.0,5,4,8,6784886.0,6405.2
Kompally,1566.1,3,3,1.0,2,3,14,7669906.0,4897.5
Madhapur,2097.4,4,4,3.0,5,6,8,17082388.0,8144.7
Kondapur,2311.8,4,4,3.0,7,0,5,16987987.0,7348.4
Miyapur,808.9,2,2,1.0,1,0,16,3954203.0,4888.2
LB Nagar,1964.8,4,5,2.0,5,20,24,9142471.0,4653.1
Nizampet,2497.5,4,4,1.0,3,7,7,15310900.0,6130.4
Financial District,3485.0,5,5,1.0,10,1,2,29788305.0,8547.6
Bowenpally,3194.4,5,5,,15,17,18,13700396.0,4288.9
LB Nagar,3314.4,5,5,1.0,2,1,5,16329065.0,4926.8
Miyapur,1114.7,2,2,2.0,10,1,8,5723243.0,5134.4
Begumpet,1645.9,3,3,1.0,3,1,6,12476472.0,7580.2
Ameerpet,1770.7,3,4,3.0,15,4,13,9403406.0,5310.6
Madhapur,1453.3,3,3,1.0,2,3,9,12015276.0,8267.8
Uppal,997.2,2,2,,0,13,18,5405264.0,5420.2
Kondapur,577.6,1,2,3.0,7,9,18,4495439.0,7782.7
Financial District,2315.9,4,4,3.0,10,9,24,20610542.0,8899.6
Kukatpally,1656.4,3,3,1.0,1,2,20,10634725.0,6420.2
Shaikpet,1205.0,2,2,1.0,5,6,12,8298043.0,6886.4
Bowenpally,1173.5,2,2,1.0,3,6,21,5994152.0,5107.7
Manikonda,2224.5,4,4,2.0,10,6,14,13391582.0,6020.2
Uppal,1727.7,3,3,1.0,15,2,3,7164979.0,4147.0
Begumpet,1797.3,3,3,3.0,7,0,6,14588465.0,8116.7
Miyapur,1606.2,3,4,1.0,1,4,7,8568526.0,5334.6
Kondapur,2299.7,4,4,2.0,7,0,7,17347864.0,7543.4
Gachibowli,1206.2,2,3,2.0,2,11,11,11137807.0,9233.6
Kukatpally,1502.1,2,2,2.0,7,13,18,9558768.0,6363.8
Hitech City,2905.8,5,5,1.0,1,5,5,24252907.0,8346.4
LB Nagar,972.9,2,3,1.0,3,3,25,4587769.0,4715.7
Bowenpally,685.9,1,1,1.0,5,0,20,3530395.0,5147.2
Banjara Hills,1700.4,3,3,1.0,0,10,14,24101170.0,14174.0
Kompally,1292.1,2,3,1.0,1,12,13,6770160.0,5239.8
Kukatpally,2121.6,3,3,2.0,5,9,11,13969453.0,6584.5
Kukatpally,2347.4,4,4,0.0,7,5,6,13521812.0,5760.4
Jubilee Hills,1033.5,2,2,1.0,10,5,17,14880737.0,14398.6
Madhapur,1911.5,3,3,2.0,7,1,11,15505314.0,8111.6
